Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
1,2015,LensKart,NA,NA,"TPG Growth, TR Capital, IDG Ventures",Private Equity,"21,50,000"
2,2015,VioletStreet,NA,NA,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",SeedFunding,"3,15,000"
3,2015,Lookup,NA,NA,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",SeedFunding,"3,80,000"
4,2015,#Fame,NA,NA,TO THE NEW Ventures,Private Equity,"1,00,00,000"
5,2015,Gympik,NA,NA,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,"1,35,000"
6,2015,Near.in,NA,NA,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,"2,85,000"
7,2015,Purplle.com,NA,NA,IvyCap Ventures,Private Equity,NA
8,2015,NumberMall,NA,NA,SRI Capital,Private Equity,"1,00,00,000"
9,2015,Tookitaki,NA,NA,"Jungle Ventures, Redbright Partners, Blume Ventures",PrivateEquity,"10,00,000"
10,2015,Frankly,NA,NA,Matrix Partners,Seed Funding,"6,00,000"
11,2015,Faircent,NA,NA,"Devesh Sachdev, Ashish Tiwari",Seed Funding,NA
12,2015,Nurturey,NA,NA,Seedrs Crowd funding platform,Crowd funding,"1,25,000"
13,2015,Bewakoof,NA,NA,"Rohit Bansal, Kunal Bahl, Nikhil Vora",Seed Funding,NA
14,2015,Stridalyzer,NA,NA,Kickstarter,Crowd Funding,"30,768"
15,2015,Commonfloor,NA,NA,Google Capital,Private Equity,"50,00,000"
16,2015,Sokrati,NA,NA,"IvyCap Ventures, Inventus Capital",Private Equity,NA
17,2015,YepMe,NA,NA,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,"1,30,00,000"
18,2015,TapCibo,NA,NA,Alok Goel,Seed Funding,NA
19,2015,Verayu,NA,NA,"GWB Group, Blume Ventures",Private Equity,NA
20,2015,MyDreamStore,NA,NA,Undisclosed Investors,Seed Funding,"2,90,000"
21,2015,AppVirality,NA,NA,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, TNN Capital & IIG",Seed Funding,NA
22,2015,RateGain,NA,NA,TA Associates,Private Equity,"5,00,00,000"
23,2015,Wishberry,NA,NA,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,"6,50,000"
24,2015,eKincare,NA,NA,Adroitent Pvt. Ltd.,Seed Funding,"1,61,000"
25,2015,ShopClues,NA,NA,Tiger Global & Other investors,Private Equity,"10,00,00,000"
26,2015,Refiral,NA,NA,Cogent E Services,Seed Funding,"3,30,000"
27,2015,Ping Digital,NA,NA,Consortium of Angel Investors,Seed Funding,NA
28,2015,HealthyWorld.in,NA,NA,Group of Angel Investors,Seed Funding,"2,00,000"
29,2015,Hostel Dunia,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
30,2015,Play your sport,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
31,2015,Yo Grad,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
32,2015,Enabli,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
33,2015,CBS,NA,NA,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000"
34,2015,Hopscotch,NA,NA,Eduardo Saverin & Velos Capital,Private Equity,"1,10,00,000"
35,2015,Amagi Media Labs,NA,NA,Premji Invest & Mayfield Fund,Private Equity,NA
36,2015,HealthyWorld.in,NA,NA,Group of Angel Investors,Seed Funding,"2,00,000"
37,2015,Simplilearn,NA,NA,"Mayfield India, Kalaari Capital, Helion Ventures",Private Equity,"1,47,50,000"
38,2015,MyDreamStore,NA,NA,Undisclosed Investors,Seed Funding,"3,25,000"
39,2015,Knit,NA,NA,"Rohit Jain, Amit Rambhia & Others",Seed Funding,NA
40,2015,Villgro,NA,NA,Michael & Susan Dell Foundation,Seed Funding,"32,50,000"
41,2015,Corporate360,NA,NA,Group of Angel Investors,Seed Funding,"2,00,000"
42,2015,Freshmonk,NA,NA,"August Capital Partners, Michael Blakey",Seed Funding,NA
43,2015,Englishleap.com,NA,NA,ANALEC,Private Equity,NA
44,2015,Antuit,NA,NA,"Goldman Sachs, Zodius Capital",Private Equity,"5,60,00,000"
45,2015,Caratlane.com,NA,NA,Tiger Global,Private Equity,"3,10,00,000"
46,2015,Aasaanjobs,NA,NA,"Inventus Capital Partners, IDG Ventures",Seed Funding,"15,00,000"
47,2015,Impartus,NA,NA,Kaizen Private Equity,Private Equity,NA
48,2015,Thrill App,NA,NA,People Group (Shaadi.com),Private Equity,"10,00,000"
49,2015,CarDekho.com,NA,NA,"Hillhouse Capital, Tybourne Capital",Private Equity,"5,00,00,000"
50,2015,Grabhouse.com,NA,NA,"Kalaari Capital, Sequoia Capital",Private Equity,"25,00,000"
51,2015,Printvenue,NA,NA,Asia Pacific Internet Group,Private Equity,"45,00,000"
52,2015,Graphene,NA,NA,KARSEMVEN Fund,Private Equity,"8,25,000"
53,2015,Mad Street Den,NA,NA,"Exfinity Fund, GrowX Ventures.",Private Equity,"15,00,000"
54,2015,Simplotel,NA,NA,MakeMyTrip,Private Equity,NA
55,2015,couponmachine.in,NA,NA,UK based Group of Angel Investors,Seed Funding,"1,40,000"
56,2015,Faaya,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
57,2015,InstaBounce,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
58,2015,Chloroplast Foods,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
59,2015,Dealwithus,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
60,2015,CleverSharks,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
61,2015,Leaf,NA,NA,Group of Angel Investors,SeedFunding,"16,600"
62,2015,SmartPocket,NA,NA,"Sol Primero, Rajiv Mehta",SeedFunding,"2,50,000"
63,2015,Yumist,NA,NA,Orios Venture Partner,Private Equity,"10,00,000"
64,2015,NowFloats,NA,NA,Omidyar Network,Private Equity,NA
65,2015,FirstCry,NA,NA,Valiant Capital Partners,Private Equity,"2,60,00,000"
66,2015,HolaChef,NA,NA,India Quotient,SeedFunding,"3,25,000"
67,2015,Frsh.co.in,NA,NA,"India Quotient, Kae Capital",SeedFunding,"5,18,000"
68,2015,Manthan,NA,NA,"Temasek, Norwest Venture Partners",Private Equity,"6,00,00,000"
69,2015,Kobster.com,NA,NA,Splice Advisors,SeedFunding,NA
70,2015,Culture Machine,NA,NA,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"1,80,00,000"
71,2015,Paytm,NA,NA,Ant Financial Services (Alipay),Private Equity,NA
72,2015,Aisle.co,NA,NA,"Anand Vijay, Shashank Mehrotra & Others",SeedFunding,"1,00,000"
73,2015,FreeCharge,NA,NA,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",Private Equity,"8,00,00,000"
